# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
23603.2000 M785 679204 1 378.2000 B24 B19 293 N B24->B19
23609.7000 M773 590108 1 752.7000 P11 P0 287 N P11->P0
23653.8000 M623 799155 1 5283.8000 P9 B21 211 N P9->B21
23759.8000 M516 580953 3 8602.8000 S27 P6 156 N S27->B21->B24->P6
23803.5000 M670 714979 2 4024.5000 B17 B22 232 N B17->P4->B22
24081.6000 M678 761087 2 4065.6000 B17 B15 232 N B17->S39->B15
24146.7000 M804 928800 1 372.7000 P14 B22 293 N P14->B22
24150.3000 M802 890646 1 427.3000 P14 B22 292 N P14->B22
24251.3000 M761 577795 2 1755.3000 P0 B23 270 N P0->B21->B23
24254.2000 M527 708588 2 8767.2000 B19 B21 153 N B19->B23->B21
24289.1000 M262 817470 2 16592.1000 B19 S29 23 N B19->S28->S29
24329.5000 M731 554969 1 2749.5000 B18 P0 254 N B18->P0
24332.5000 M750 729727 2 2176.5000 B17 B18 263 N B17->P0->B18
24477.6000 M789 594020 1 1125.6000 P4 P11 281 N P4->P11
24479.7000 M733 510359 1 2837.7000 P4 P11 252 N P4->P11
24652.9000 M457 574518 5 11219.9000 P0 B22 113 N P0->S28->P14->S37->S36->B22
24702.0000 M757 794834 2 2327.0000 S29 S27 261 N S29->B22->S27
24742.4000 M829 849019 1 243.4000 B21 P9 295 N B21->P9
24915.1000 M772 958900 1 2089.1000 P5 P2 265 N P5->P2
25039.9000 M784 949752 1 1846.9000 B24 P1 269 N B24->P1
25096.2000 M730 529817 1 3549.2000 P1 P6 240 N P1->P6
25104.4000 M775 681654 2 2186.4000 P4 P9 263 N P4->S35->P9
25183.2000 M446 642573 3 12065.2000 B17 B16 98 N B17->P3->S27->B16
25304.2000 M540 777298 1 9432.2000 B20 P0 142 N B20->P0
25307.2000 M815 733347 1 1213.2000 B20 P0 279 N B20->P0
25329.0000 M643 783070 3 6365.0000 B17 S30 193 N B17->S39->B15->S30
25331.6000 M675 643308 1 5400.6000 B15 S30 209 N B15->S30
25363.6000 M706 759869 2 4526.6000 S32 B23 224 N S32->P14->B23
25539.2000 M751 592222 3 3350.2000 B17 P6 244 N B17->S25->B24->P6
25542.7000 M838 869681 1 785.7000 B24 P6 286 N B24->P6
25583.2000 M853 572004 1 384.2000 B19 P1 293 N B19->P1
25609.1000 M808 515900 1 1715.1000 B16 B22 271 N B16->B22
